날짜,공급예비력
2021-06-21-16-00-00,486000
2021-06-21-17-00-00,360000
2021-06-21-18-00-00,269000
2021-06-21-19-00-00,233000
2021-06-21-20-00-00,230000
2021-06-21-21-00-00,261000
2021-06-21-22-00-00,310000
2021-06-21-23-00-00,390000
2021-06-22-00-00-00,432000
2021-06-22-01-00-00,471000
2021-06-22-02-00-00,500000
2021-06-22-03-00-00,517000
2021-06-22-04-00-00,527000
2021-06-22-05-00-00,527000
2021-06-22-06-00-00,508000
2021-06-22-07-00-00,503000
2021-06-22-08-00-00,505000
2021-06-22-09-00-00,514000
2021-06-22-10-00-00,545000
2021-06-22-11-00-00,584000
2021-06-22-12-00-00,632000
2021-06-22-13-00-00,626000
2021-06-22-14-00-00,618000
2021-06-22-15-00-00,603000
2021-06-22-16-00-00,545000
2021-06-22-17-00-00,398000
2021-06-22-18-00-00,311000
2021-06-22-19-00-00,280000
2021-06-22-20-00-00,260000
2021-06-22-21-00-00,277000
2021-06-22-22-00-00,330000
2021-06-22-23-00-00,374000
2021-06-23-00-00-00,408000
2021-06-23-01-00-00,511000
2021-06-23-02-00-00,563000
2021-06-23-03-00-00,583000
2021-06-23-04-00-00,593000
2021-06-23-05-00-00,590000
2021-06-23-06-00-00,579000
2021-06-23-07-00-00,584000
2021-06-23-08-00-00,584000
2021-06-23-09-00-00,597000
2021-06-23-10-00-00,610000
2021-06-23-11-00-00,609000
2021-06-23-12-00-00,575000
2021-06-23-13-00-00,500000
2021-06-23-14-00-00,489000
2021-06-23-15-00-00,536000
2021-06-23-16-00-00,476000
2021-06-23-17-00-00,381000
2021-06-23-18-00-00,325000
2021-06-23-19-00-00,296000
2021-06-23-20-00-00,282000
2021-06-23-21-00-00,307000
2021-06-23-22-00-00,361000
2021-06-23-23-00-00,466000
2021-06-24-00-00-00,501000
2021-06-24-01-00-00,538000
2021-06-24-02-00-00,572000
2021-06-24-03-00-00,588000
2021-06-24-04-00-00,601000
2021-06-24-05-00-00,597000
2021-06-24-06-00-00,603000
2021-06-24-07-00-00,597000
2021-06-24-08-00-00,596000
2021-06-24-09-00-00,558000
2021-06-24-10-00-00,535000
2021-06-24-11-00-00,533000
2021-06-24-12-00-00,507000
2021-06-24-13-00-00,477000
2021-06-24-14-00-00,509000
2021-06-24-15-00-00,450000
2021-06-24-16-00-00,392000
2021-06-24-17-00-00,331000
2021-06-24-18-00-00,309000
2021-06-24-19-00-00,320000
2021-06-24-20-00-00,331000
2021-06-24-21-00-00,350000
2021-06-24-22-00-00,420000
2021-06-24-23-00-00,458000
2021-06-25-00-00-00,492000
2021-06-25-01-00-00,536000
2021-06-25-02-00-00,574000
2021-06-25-03-00-00,601000
2021-06-25-04-00-00,606000
2021-06-25-05-00-00,597000
2021-06-25-06-00-00,581000
2021-06-25-07-00-00,587000
2021-06-25-08-00-00,589000
2021-06-25-09-00-00,545000
2021-06-25-10-00-00,586000
2021-06-25-11-00-00,586000
2021-06-25-12-00-00,597000
2021-06-25-13-00-00,574000
2021-06-25-14-00-00,569000
2021-06-25-15-00-00,537000
2021-06-25-16-00-00,512000
2021-06-25-17-00-00,396000
2021-06-25-18-00-00,345000
2021-06-25-19-00-00,330000
2021-06-25-20-00-00,340000
2021-06-25-21-00-00,352000
2021-06-25-22-00-00,410000
2021-06-25-23-00-00,451000
2021-06-26-00-00-00,484000
2021-06-26-01-00-00,525000
2021-06-26-02-00-00,563000
2021-06-26-03-00-00,576000
2021-06-26-04-00-00,593000
2021-06-26-05-00-00,588000
2021-06-26-06-00-00,572000
2021-06-26-07-00-00,554000
2021-06-26-08-00-00,538000
2021-06-26-09-00-00,521000
2021-06-26-10-00-00,497000
2021-06-26-11-00-00,511000
2021-06-26-12-00-00,649000
2021-06-26-13-00-00,606000
2021-06-26-14-00-00,615000
2021-06-26-15-00-00,629000
2021-06-26-16-00-00,582000
2021-06-26-17-00-00,483000
2021-06-26-18-00-00,392000
2021-06-26-19-00-00,365000
2021-06-26-20-00-00,369000
2021-06-26-21-00-00,382000
2021-06-26-22-00-00,411000
2021-06-26-23-00-00,443000
2021-06-27-00-00-00,503000
2021-06-27-01-00-00,579000
2021-06-27-02-00-00,287000
2021-06-27-03-00-00,429000
2021-06-27-04-00-00,432000
2021-06-27-05-00-00,436000
2021-06-27-06-00-00,427000
2021-06-27-07-00-00,430000
2021-06-27-08-00-00,466000
2021-06-27-09-00-00,489000
2021-06-27-10-00-00,513000
2021-06-27-11-00-00,504000
2021-06-27-12-00-00,499000
2021-06-27-13-00-00,475000
2021-06-27-14-00-00,465000
2021-06-27-15-00-00,432000
2021-06-27-16-00-00,370000
2021-06-27-17-00-00,334000
2021-06-27-18-00-00,465000
2021-06-27-19-00-00,417000
2021-06-27-20-00-00,406000
2021-06-27-21-00-00,426000
2021-06-27-22-00-00,462000
2021-06-27-23-00-00,505000
2021-06-28-00-00-00,550000
2021-06-28-01-00-00,594000
2021-06-28-02-00-00,613000
2021-06-28-03-00-00,625000
2021-06-28-04-00-00,640000
2021-06-28-05-00-00,641000
2021-06-28-06-00-00,634000
2021-06-28-07-00-00,622000
2021-06-28-08-00-00,615000
2021-06-28-09-00-00,613000
2021-06-28-10-00-00,629000
2021-06-28-11-00-00,610000
2021-06-28-12-00-00,655000
2021-06-28-13-00-00,603000
2021-06-28-14-00-00,619000
2021-06-28-15-00-00,615000
2021-06-28-16-00-00,585000
2021-06-28-17-00-00,502000
2021-06-28-18-00-00,425000
2021-06-28-19-00-00,379000
2021-06-28-20-00-00,375000
2021-06-28-21-00-00,409000
2021-06-28-22-00-00,451000
2021-06-28-23-00-00,499000
2021-06-29-00-00-00,528000
2021-06-29-01-00-00,537000
2021-06-29-02-00-00,560000
2021-06-29-03-00-00,575000
