날짜,공급예비력
2021-08-06-09-00-00,619000
2021-08-06-10-00-00,631000
2021-08-06-11-00-00,642000
2021-08-06-12-00-00,632000
2021-08-06-13-00-00,624000
2021-08-06-14-00-00,611000
2021-08-06-15-00-00,576000
2021-08-06-16-00-00,494000
2021-08-06-17-00-00,401000
2021-08-06-18-00-00,316000
2021-08-06-19-00-00,302000
2021-08-06-20-00-00,336000
2021-08-06-21-00-00,364000
2021-08-06-22-00-00,425000
2021-08-06-23-00-00,511000
2021-08-07-00-00-00,568000
2021-08-07-01-00-00,610000
2021-08-07-02-00-00,651000
2021-08-07-03-00-00,688000
2021-08-07-04-00-00,702000
2021-08-07-05-00-00,704000
2021-08-07-06-00-00,683000
2021-08-07-07-00-00,673000
2021-08-07-08-00-00,696000
2021-08-07-09-00-00,692000
2021-08-07-10-00-00,686000
2021-08-07-11-00-00,680000
2021-08-07-12-00-00,673000
2021-08-07-13-00-00,631000
2021-08-07-14-00-00,601000
