,충전소명,휴점일,이용가능시작시각,이용가능종료시각,완속충전기대수,급속충전기대수,주차료부과여부,관리업체명,관리업체전화번호,경도,위도,V2G충전기대수
71,흥진자동차공업사,연중무휴,00:00,23:59,1,0,N,제주전기자동차서비스,1670-2690,126.6575103,33.27494819,1
72,은빌레펜션,고객외 이용불가,00:00,23:59,1,0,N,한국전기차충전서비스,1522-1782,126.716797,33.3117075,0
73,펜션정원,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.7751676,33.30642033,0
74,해든빌레펜션,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.6616823,33.29197517,0
75,신흥2리마을회,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.7456046,33.3211735,0
76,위미의례회관,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.6576884,33.28980033,0
77,금앤옥통나무펜션,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.6293628,33.2830034,0
78,서귀포농업기술센터,연중무휴,00:00,23:59,3,0,N,제주특별자치도,1899-8852,126.6072502,33.28833481,0
79,서귀포농업기술센터,연중무휴,00:00,23:59,0,3,N,환경부(한국자동차환경협회),1661-9408,126.6072502,33.28833481,0
80,태흥2리마을회,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.7451648,33.2877337,0
81,꿈꾸는 노마드,연중무휴,00:00,23:59,1,0,N,KT,1522-0123,126.4995561,33.24169811,0
82,영어교육도신 한신더휴아파트,입주민외 이용불가,00:00,23:59,2,0,N,지엔텔,1544-4279,126.2803435,33.28691522,0
83,삼정지에듀아파트,입주민외 이용불가,00:00,23:59,2,0,N,지엔텔,1544-4279,126.2742565,33.28408845,0
84,제주 곶자왈 도립공원입구,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.2735723,33.28322252,0
85,영어교육도시119센터,연중무휴,00:00,23:59,0,2,N,한국전력,1899-2100,126.2733586,33.27896208,0
86,대정 영어교육도시,연중무휴,00:00,23:59,1,0,N,제주특별자치도,1899-8852,126.2818294,33.28794082,0
87,대정 영어교육도시,연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.2818294,33.28794082,0
88,가온누리,고객외 이용불가,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.2534033,33.22781273,1
89,대정119센터,연중무휴,00:00,23:59,1,0,N,제주특별자치도,1899-8852,126.240854,33.23251532,1
90,희준카센타,연중무휴,00:00,23:59,0,1,N,한국전기차충전서비스,1522-1782,126.2221662,33.24693381,0
91,무릉2리마을회,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.235267,33.27484586,0
92,빅토르투자개발,고객외 이용불가,00:00,23:59,4,0,N,KT,1522-0123,126.5814377,33.2793461,0
93,비전지역아동센터,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.5008946,33.26234316,0
94,뉴월드 골프타운,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.5069543,33.26251197,1
95,명성레져개발,고객외 이용불가,00:00,23:59,2,0,N,한국전기차충전서비스,1522-1782,126.4943432,33.25778008,0
96,에띠에호스텔,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.4941424,33.2352943,0
97,올레요리조트,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.4926906,33.2347494,0
98,강정보건지소,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.4772283,33.23759944,0
99,호텔 빠레브 주식회사,연중무휴,00:00,23:59,3,0,N,KT,1522-0123,126.5066913,33.2523353,1
100,에코럭스,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.5075472,33.25248102,0
101,새서귀포교회,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.5068952,33.25316728,0
102,풍경호스텔,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.5528623,33.24237001,0
103,주식회사 선샤인,고객외 이용불가,00:00,23:59,2,0,N,KT,1522-0123,126.553327,33.2434345,0
104,풍경호텔,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.553412,33.24484246,1
105,천지연폭포 주차장,연중무휴,00:00,23:59,1,0,N,제주특별자치도,1899-8852,126.5596704,33.2447447,0
106,천지연폭포 주차장,연중무휴,00:00,23:59,0,3,N,환경부(한국자동차환경협회),1661-9408,126.5596704,33.2447447,0
107,삼매봉도서관,연중무휴,00:00,23:59,1,0,N,제주특별자치도,1899-8852,126.552097,33.2443256,0
108,삼매봉도서관,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.552097,33.2443256,0
109,대발이파크,연중무휴,00:00,23:59,0,1,N,제주전기자동차서비스,1670-2690,126.7042434,33.27434685,0
110,소랑호젠펜션,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.7052388,33.27580986,0
111,동부보건소,연중무휴,00:00,23:59,6,0,N,제주특별자치도,1899-8852,126.7034172,33.27562882,0
112,동부보건소,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.7034172,33.27562882,0
113,강정포구횟집,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.4758302,33.2288117,0
114,더베이리조트,연중무휴,00:00,23:59,2,0,N,대영채비,1522-2573,126.5934867,33.24120025,0
115,(주)이레,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.7786436,33.40269826,0
116,한국전력 제주본주 서귀포지사,연중무휴,00:00,23:59,0,3,N,한국전력,1899-2100,126.5107961,33.2541046,0
117,월드컵경기장 인근 공영주차장,연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.5110332,33.2481172,0
118,삼화석유 법환주유소,연중무휴,00:00,23:59,0,2,N,SK에너지,,126.5127149,33.24790307,0
119,귤낭하우스,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.5218882,33.243023,0
120,오랑제리펜션,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.5144709,33.24471457,0
121,장안그랜드빌리지자치회,입주민외 이용불가,00:00,23:59,1,0,N,지엔텔,1544-4279,126.5970986,33.24160151,1
122,밀레니엄빌,연중무휴,00:00,23:59,1,0,N,지엔텔,1544-4279,126.5900386,33.2452066,0
123,보목하수처리장,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.5914917,33.243313,0
124,자치경찰단서귀포지역대청사,연중무휴,00:00,23:59,2,0,N,제주특별자치도,1899-8852,126.5657339,33.24495461,0
125,자치경찰단서귀포지역대청사,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.5657339,33.24495461,0
126,해담은,연중무휴,00:00,23:59,1,0,N,지엔텔,1544-4279,126.3032638,33.2394792,0
127,제주아이브,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.4960969,33.28877784,0
128,치유의숲,연중무휴,00:00,23:59,2,0,N,제주특별자치도,1899-8852,126.5279042,33.29193935,0
129,누가빌리지 주식회사,고객외 이용불가,00:00,23:59,2,0,N,KT,1522-0123,126.5729395,33.29628579,0
130,허브인휴양펜션,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.2902458,33.4356419,0
131,오로라정원,연중무휴,00:00,23:59,0,3,N,상명엔지니어링,1670-2690,126.2485555,33.35941042,0
132,한림금능농공단지 내 제주맥주,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.2412145,33.35850024,0
133,한국중부발전 상명풍력발전소,연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.2919639,33.339953,0
134,명월국민학교,연중무휴,00:00,23:59,2,0,N,제주전기자동차서비스,1670-2690,126.2648488,33.38890351,0
135,수원리새마을회,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.2705839,33.42747125,0
136,제주프랜,연중무휴,00:00,23:59,1,0,N,제주전기자동차서비스,1670-2690,126.267164,33.40194338,0
137,아일랜드힐,연중무휴,00:00,23:59,1,,N,제주전기자동차서비스,1670-2690,126.2796338,33.34711291,0
138,제주담스파빌,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.2253178,33.38567338,0
139,앤트러사이트(동아물산),연중무휴,00:00,23:59,0,2,N,보타리에너지,1670-2690,126.2582303,33.40789487,0
140,돈내코순두부한림점,연중무휴,00:00,23:59,0,2,N,보타리에너지,1670-2690,126.2824888,33.40970367,0
141,성아자동차공업사,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.2754372,33.42206493,0
142,금악주유소,연중무휴,00:00,23:59,0,1,N,보타리에너지,1670-2690,126.2984609,33.35329748,0
143,화북동 공영주차장(화북일동 11-7),연중무휴,00:00,23:59,0,2,N,제주특별자치도,1899-8852,126.5712817,33.5198132,1
144,동화초등학교 맞은편 공영주차장,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.5745354,33.5179212,0
145,중문동주민센터,연중무휴,00:00,23:59,1,1,N,제주특별자치도,1899-8852,126.4336393,33.25333129,0
146,중문제일행복한 홈스쿨지역아동센터,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.4332519,33.254145,0
147,중문아리랑,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.4340345,33.25394619,0
148,중문메리디안,고객외 이용불가,00:00,23:59,1,0,N,한국전기차충전서비스,1522-1782,126.435335,33.25397374,0
149,WE호텔(한라의료재단),연중무휴,00:00,23:59,2,0,N,한국전기차충전서비스,1522-1782,126.4440336,33.28616473,0
150,모이라펜션,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.5871454,33.27908388,0
151,귀덕편의점,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.2802959,33.4378241,0
152,함덕드라마빌리지,연중무휴,00:00,23:59,1,0,N,제주전기자동차서비스,1670-2690,126.6692842,33.53796949,0
153,금단영,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.1936223,33.36192203,0
154,저지리사무소,연중무휴,00:00,23:59,0,2,N,한국전력,1899-2100,126.255848,33.33269856,0
155,상명EV충전소,연중무휴,00:00,23:59,0,3,N,상명엔지니어링,1670-2690,126.2313954,33.3376421,0
156,저지신토불이식당,연중무휴,00:00,23:59,2,0,N,제주전기자동차서비스,1670-2690,126.2556961,33.34247458,0
157,아파트먼트커피,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.2445437,33.31137783,0
158,엠닷에이,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.1992246,33.36494435,0
159,그리스박물관,연중무휴,00:00,23:59,0,1,N,보타리에너지,1670-2690,126.3575227,33.34808488,0
160,제주레포츠랜드,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.6387282,33.48232418,0
161,제이디피모터스함덕점,연중무휴,00:00,23:59,1,0,N,제주전기자동차서비스,1670-2690,126.6570896,33.53651541,0
162,조천도서관,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.6676186,33.53770537,0
163,조천도서관,연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.6676186,33.53770537,0
164,청우가든,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.6259057,33.53074511,0
165,빅타이어조천점,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.6432839,33.53528271,0
166,조천라오체,연중무휴,00:00,23:59,1,0,N,제주전기자동차서비스,1670-2690,126.6369941,33.52968177,0
167,푸른열매작은도서관,연중무휴,00:00,23:59,2,,N,제주전기자동차서비스,1670-2690,126.6318406,33.5345568,0
168,사랑샘교회,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.6310514,33.52773841,0
169,함덕순복음교회,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.6584419,33.54087204,0
170,함덕카페H,연중무휴,00:00,23:59,2,0,N,제주전기자동차서비스,1670-2690,126.6599676,33.52626322,0
171,함덕광명샤인빌,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.6770228,33.53801877,0
172,귤빛체험농원,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.6738046,33.50392641,0
173,달스테이,연중무휴,00:00,23:59,0,1,N,보타리에너지,1670-2690,126.4078127,33.45689467,0
174,한솜카페,연중무휴,00:00,23:59,0,1,N,보타리에너지,1670-2690,126.4773866,33.47568654,1
175,뜨레모아3차,연중무휴,00:00,23:59,1,0,N,제주전기자동차서비스,1670-2690,126.4787908,33.47475841,0
176,민형파인즈,연중무휴,00:00,23:59,3,0,N,대영채비,1522-2573,126.4810183,33.47430614,0
177,농업회사법인제우스,연중무휴,00:00,23:59,1,,N,제주전기자동차서비스,1670-2690,126.5717487,33.45701393,0
178,엠제이벤처오름,연중무휴,00:00,23:59,3,0,N,테슬라,,126.5719587,33.4545623,0
179,제주산학융합원,연중무휴,00:00,23:59,0,3,N,한국전력,1899-2100,126.567553,33.447486,0
180,외도119센터,연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.4375053,33.48663399,0
181,하귀문화의 집,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.4039843,33.48003276,0
182,에피소드,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.1880922,33.30577808,0
183,청수마을회관,연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.2475142,33.31808934,0
184,한원리노인복지관(한원리사무소),연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.1959777,33.33851758,0
185,몽땅,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.2580132,33.30584382,0
186,성김대건신부제주표착기념관,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.1677309,33.32286381,0
187,무릉1리마을회,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.2029889,33.2701387,0
188,영락리마을회,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.2109754,33.25855534,0
189,부웅크리스탈빌3차,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.530796,33.48368641,0
190,한국중부발전 제주화력본부사택,연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.5919256,33.52714324,0
191,그루터기,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.6001401,33.53301956,1
192,투썸플레이스 제주노형DT점,연중무휴,00:00,23:59,0,1,N,제주전기자동차서비스,1670-2690,126.4740905,33.49130981,1
193,중앙로상점가(국민은행서측),연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.5212534,33.5106719,0
194,모로왓제2공영주차장,연중무휴,00:00,23:59,3,7,Y,제주특별자치도,1899-8852,126.543795,33.51129125,1
195,기아오토큐 화북대리점,연중무휴,00:00,23:59,0,1,N,한국전기차충전서비스,1522-1782,126.5490401,33.51185501,0
196,CU제주대박점,연중무휴,00:00,23:59,0,1,N,에스트래픽,080-805-0010,126.4029714,33.48340343,1
197,대박이네마트,연중무휴,00:00,23:59,2,,N,에스트래픽,080-805-0010,126.4029714,33.48340343,0
198,제주교도소 민원인 주차장,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.514997,33.46278791,0
199,CU조천사거리점,연중무휴,00:00,23:59,0,1,N,에스트래픽,080-805-0010,126.6400787,33.53766806,0
200,조천리 새마을회,연중무휴,00:00,23:59,2,,N,에스트래픽,080-805-0010,126.63888,33.53698658,0
201,램하우스,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.6731393,33.43692114,0
202,자연과사람들,연중무휴,00:00,23:59,0,1,N,보타리에너지,1670-2690,126.6610809,33.46047477,0
203,와흘을그리다,연중무휴,00:00,23:59,0,1,N,보타리에너지,1670-2690,126.6604226,33.46269452,0
204,서프라이즈테마파크(농업회사법인 우주),연중무휴,00:00,23:59,0,1,N,제주전기자동차서비스,1670-2690,126.6595953,33.46518789,0
205,에코촌 유스호스텔,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.703722,33.51690884,0
206,제주미니랜드,연중무휴,00:00,23:59,1,0,N,한국전기차충전서비스,1522-1782,126.6749129,33.43425343,0
207,다희연(농업회사법인경덕),연중무휴,00:00,23:59,0,1,N,보타리에너지,1670-2690,126.7061311,33.48690575,0
208,거문오름꿈의숲,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.7021477,33.48630118,0
209,포레스트사파리,연중무휴,00:00,23:59,0,2,N,보타리에너지,1670-2690,126.7094861,33.46306444,0
210,선래왓절,연중무휴,00:00,23:59,0,1,N,보타리에너지,1670-2690,126.7086074,33.4581901,0
211,조천코아루,연중무휴,00:00,23:59,2,,N,제주전기자동차서비스,1670-2690,126.6223818,33.51720331,0
212,눈뫼가름협동조합,연중무휴,00:00,23:59,2,0,N,파워큐브코리아,1833-8017,126.6776373,33.48497761,0
213,농업회사법인주식회사블랙푸드,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.6995958,33.48496065,0
214,아라행복주택,연중무휴,00:00,23:59,1,0,N,한국전기차충전서비스,1522-1782,126.5452184,33.49020641,0
215,태평양금호,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.5478856,33.49211313,1
216,워시존연북로점,연중무휴,00:00,23:59,0,1,N,제주전기자동차서비스,1670-2690,126.5530166,33.49539912,0
217,다몰2차연립주택,연중무휴,00:00,23:59,2,0,N,제주전기자동차서비스,1670-2690,126.5120029,33.48416922,1
218,에코그린빌9차,연중무휴,00:00,23:59,2,0,N,제주전기자동차서비스,1670-2690,126.5059249,33.49420331,1
219,그린스페이스휴,연중무휴,00:00,23:59,3,0,N,파워큐브코리아,1833-8017,126.5533261,33.50469026,1
220,연동대림2차아파트,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.4877296,33.47975083,1
221,영평하동 마을회관,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.5738943,33.48630885,0
222,노형리츠하임 테라스파크,연중무휴,00:00,23:59,4,0,N,대영채비,1522-2573,126.4588939,33.4876236,1
223,대한적십자 제주혈액원,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.5202318,33.4911869,1
224,노형4차아뜨리에,연중무휴,00:00,23:59,2,0,N,제주전기자동차서비스,1670-2690,126.4623799,33.48557954,0
225,제주장애인스포츠센터,연중무휴,00:00,23:59,0,2,N,제주특별자치도,1899-8852,126.4347951,33.4866855,0
226,외도부영1차아파트,연중무휴,00:00,23:59,0,1,N,제주전기자동차서비스,1670-2690,126.4336125,33.48761522,0
227,제주시외도일동공영주차장,연중무휴,00:00,23:59,0,2,N,환경부(한국자동차환경협회),1661-9408,126.4265257,33.4857164,0
228,용담평화베스트빌1차,연중무휴,00:00,23:59,1,0,N,파워큐브코리아,1833-8017,126.515587,33.50831349,0
