ds,yhat,yhat_lower,yhat_upper
2021-06-08 08:00:00,550291.6346568926,443196.34534389677,656621.0638201898
2021-06-08 09:00:00,548690.125439959,433178.76056462806,658908.1872981427
2021-06-08 10:00:00,557573.4996693312,450378.15771419846,666509.5937644939
2021-06-08 11:00:00,573749.7121706945,465664.4667738418,687366.2327683204
2021-06-08 12:00:00,588505.0336509312,475257.04093235265,697100.971633378
2021-06-08 13:00:00,591750.7544659085,479647.4566321844,704032.5731091942
2021-06-08 14:00:00,576661.2206246407,473307.85424192034,686557.5728105728
2021-06-08 15:00:00,542313.1561726723,433222.0706710871,662781.6613752936
2021-06-08 16:00:00,493686.28183940717,389621.45405880536,598221.1705390541
2021-06-08 17:00:00,439974.1129303142,320569.5285466279,554045.3956613102
2021-06-08 18:00:00,392290.06160161115,278948.1549707081,499859.9217197529
2021-06-08 19:00:00,361068.7032557863,247808.4176872356,461508.2569271332
2021-06-08 20:00:00,353151.81709366094,244498.19935000114,468840.0584752219
2021-06-08 21:00:00,369275.91742754297,257160.25966334247,478230.0694608889
2021-06-08 22:00:00,403490.9387365139,294551.57028720464,514145.59644056996
2021-06-08 23:00:00,445553.5833541808,341762.8709199043,556154.2734660398
2021-06-09 00:00:00,485420.3450572527,369893.9657951959,593619.6211318565
2021-06-09 01:00:00,517170.87650543574,407938.9473558838,625209.9243610614
2021-06-09 02:00:00,539858.123101282,431219.82859341626,650045.4020376891
2021-06-09 03:00:00,555106.3876478462,442978.8466359447,661578.5960324389
2021-06-09 04:00:00,563879.8626049766,445868.80936124845,671371.7837003549
2021-06-09 05:00:00,565382.9066406589,461572.96702614345,676529.3717858198
2021-06-09 06:00:00,558952.497310838,447704.4071758128,670936.194747516
2021-06-09 07:00:00,546904.3365963376,440672.3637171935,670226.1175634431
2021-06-09 08:00:00,535232.1721195442,431180.7613622303,645227.5518987549
2021-06-09 09:00:00,530838.6640263024,422660.38914575055,635050.3613068429
2021-06-09 10:00:00,537029.46038413,427360.5040167226,649214.1086699889
2021-06-09 11:00:00,550634.5251211164,437802.7853049742,663903.4325525309
2021-06-09 12:00:00,562959.9939040786,448613.5810759562,676138.7867579615
2021-06-09 13:00:00,563934.6925938034,446657.4391272926,669666.7920874185
2021-06-09 14:00:00,546748.0219925349,430977.2349597525,649035.9446301686
2021-06-09 15:00:00,510489.16458817467,407764.11091792595,618454.2257556537
2021-06-09 16:00:00,460147.62418150454,348580.4742975667,564244.7195786155
2021-06-09 17:00:00,404923.98193864286,299152.846408929,517948.90746644314
2021-06-09 18:00:00,355935.9941874761,250366.0728854123,474342.6384649729
2021-06-09 19:00:00,323619.89104540227,218480.13184049947,428451.5967804972
2021-06-09 20:00:00,314816.485248183,203487.047884656,416281.9975591283
2021-06-09 21:00:00,330258.8062928142,217711.7069820232,429743.7507220703
2021-06-09 22:00:00,363990.92110257706,248291.98948089624,475498.6906477391
2021-06-09 23:00:00,405761.44785901054,295136.1015931373,511308.881648078
2021-06-10 00:00:00,445516.7736532608,339725.5071208196,552395.9804311233
2021-06-10 01:00:00,477324.6409309686,366796.29890793684,594350.9831322957
2021-06-10 02:00:00,500224.522010188,390950.7795870951,608214.0633501156
2021-06-10 03:00:00,515825.9424921057,406867.2934672325,633193.135079773
2021-06-10 04:00:00,525077.2865851228,419874.9662141068,645048.3513524798
2021-06-10 05:00:00,527166.357094304,412167.80393043684,645209.8569001473
2021-06-10 06:00:00,521413.1178377092,411145.9203331607,627314.01077335
2021-06-10 07:00:00,510116.09108941996,389198.63177242735,618165.4029207722
2021-06-10 08:00:00,499251.9687299858,397013.9245723995,612497.5285562552
2021-06-10 09:00:00,495706.7629966993,375303.8840217559,600953.1079194787
2021-06-10 10:00:00,502770.1556883447,395635.15569224075,614116.0059761626
2021-06-10 11:00:00,517257.0860068026,410577.61095368414,628883.3059717205
2021-06-10 12:00:00,530459.8487927843,425612.3704369256,636831.0416074883
2021-06-10 13:00:00,532294.8343983963,417340.33784682973,638808.2121255486
2021-06-10 14:00:00,515940.6108364976,397948.6661564713,623993.8403278214
2021-06-10 15:00:00,480499.40419303696,372310.46082772216,588955.0592374358
2021-06-10 16:00:00,430931.46981863916,320224.0649826872,534784.4012095563
2021-06-10 17:00:00,376432.269206938,265408.8060739303,481367.88014268293
2021-06-10 18:00:00,328116.541611298,225288.85146825737,438889.1176440597
2021-06-10 19:00:00,296419.64646093466,190436.23413849878,396711.07743401296
2021-06-10 20:00:00,288183.6815000512,178477.18846367087,397605.29641370574
2021-06-10 21:00:00,304145.0916500464,205517.28034255488,410793.6348816803
2021-06-10 22:00:00,338353.430089346,229566.08804779503,449187.31825241575
2021-06-10 23:00:00,380564.779000735,266582.55993815116,492198.219446784
2021-06-11 00:00:00,420734.8418598935,308494.37799300364,519694.1294707818
2021-06-11 01:00:00,452942.37397341896,339359.57221771963,572288.481186192
2021-06-11 02:00:00,476239.3726247293,363548.95598826674,588934.8369085442
2021-06-11 03:00:00,492249.1901609071,383021.7856591053,595844.4853886701
2021-06-11 04:00:00,501935.1059697285,390769.1280519628,611229.5852430415
2021-06-11 05:00:00,504500.63324354886,389317.59758432244,611948.8104569728
2021-06-11 06:00:00,499281.9918182869,390583.4945694527,614093.1889463044
2021-06-11 07:00:00,488594.2234059112,364819.5177110385,596354.1201241316
2021-06-11 08:00:00,478430.51182525425,369576.8775944449,590015.1842526209
2021-06-11 09:00:00,475693.03818245046,371055.3073597329,583748.5540660801
2021-06-11 10:00:00,483687.0340002414,381646.93931774225,597335.809098452
2021-06-11 11:00:00,499242.0766611498,390920.6266211022,608428.1311509648
2021-06-11 12:00:00,513663.9030763988,403405.1331513464,627333.9754773565
2021-06-11 13:00:00,516880.8768960061,415755.3859662397,625601.1950136402
2021-06-11 14:00:00,502138.39235199423,388137.9567475635,604432.1854596168
2021-06-11 15:00:00,468468.2778015051,356277.71927659225,571600.6043048233
2021-06-11 16:00:00,420859.00044076756,312978.1405930824,535401.7238774339
2021-06-11 17:00:00,368509.7653794816,263541.4234566413,482185.1193586086
2021-06-11 18:00:00,322536.53261935065,215093.86197879826,433982.56709456624
2021-06-11 19:00:00,293373.23296236875,177676.9187741169,407842.05910905864
2021-06-11 20:00:00,287857.7936459395,171038.53405973114,391658.6322014337
2021-06-11 21:00:00,306719.6904320086,194492.5709727397,418267.127399979
2021-06-11 22:00:00,343998.6889149153,226747.2378012878,451822.742296029
2021-06-11 23:00:00,389438.283278857,284568.16048049054,497529.01966970356
2021-06-12 00:00:00,432978.84470798436,328653.296625595,542228.8738465733
2021-06-12 01:00:00,468681.1459200181,355922.1349609449,573072.0398659292
2021-06-12 02:00:00,495576.68255071476,381826.6752247597,617579.9607537948
2021-06-12 03:00:00,515265.9535416733,412634.49485970417,620362.9739051285
2021-06-12 04:00:00,528687.2347801044,422214.4044500915,641107.4861577444
2021-06-12 05:00:00,535017.1198507253,431645.958375366,638025.6873659362
2021-06-12 06:00:00,533563.2566078273,419672.4962132131,639386.7354935353
2021-06-12 07:00:00,526610.7529406865,411501.4582075208,644700.9146040027
2021-06-12 08:00:00,520121.81104231067,410745.69150442944,625675.5965155449
2021-06-12 09:00:00,520966.9164728351,409271.01403014635,635581.3525487509
2021-06-12 10:00:00,532419.2410903656,424053.28085388883,633323.064407824
2021-06-12 11:00:00,551276.3000635739,443027.0001952797,666813.3189071618
2021-06-12 12:00:00,568812.1344939203,457686.0147506748,678281.442296242
2021-06-12 13:00:00,574988.3174602354,467503.5992118191,680753.1829776105
2021-06-12 14:00:00,562899.6488692317,455724.51818916114,674654.9023242015
2021-06-12 15:00:00,531606.1602648722,428998.68626156944,649927.1123648102
2021-06-12 16:00:00,486069.7682359046,379206.504491308,588580.5324315849
2021-06-12 17:00:00,435465.2911280282,321994.98632884736,552425.657043798
2021-06-12 18:00:00,390886.7845419727,282435.18784455024,505618.47787543136
2021-06-12 19:00:00,362749.0521417853,239854.9516821729,473701.50616657455
2021-06-12 20:00:00,357873.9387472343,247732.68392089658,470033.8250871626
2021-06-12 21:00:00,376978.11889622983,270908.40224550175,486075.9988175304
2021-06-12 22:00:00,414092.0404540278,297464.6143665981,519189.5316836044
2021-06-12 23:00:00,458953.52872384584,353220.7097118404,570980.9207656136
2021-06-13 00:00:00,501501.06089072046,394101.43073586986,612983.5745167867
2021-06-13 01:00:00,535797.3753761158,428293.0796226977,645674.1960150979
2021-06-13 02:00:00,560879.8354060628,449583.6507735246,662086.2425007911
2021-06-13 03:00:00,578358.7080451073,470326.66090772947,682368.6022235675
2021-06-13 04:00:00,589185.892549894,469222.6395188991,699156.0133867743
2021-06-13 05:00:00,592555.3720405089,482225.71109726874,705959.7253989627
2021-06-13 06:00:00,587795.8178495917,484548.84802602156,699424.7728320238
2021-06-13 07:00:00,577216.8211280935,468885.82296189154,691735.9103980929
2021-06-13 08:00:00,566808.3126847484,458438.6507688817,674023.3942252297
2021-06-13 09:00:00,563471.49955077,462938.5308094731,673877.4681506938
2021-06-13 10:00:00,570512.97999012,458412.8026748704,677007.1882411055
2021-06-13 11:00:00,584766.0802378695,471362.1626737416,695243.1844838614
2021-06-13 12:00:00,597581.490111652,480737.00418689963,706988.5007068216
2021-06-13 13:00:00,598857.3223972223,496346.32813441363,702408.9503619015
2021-06-13 14:00:00,581793.3182712863,469849.4026556685,687536.6552006829
2021-06-13 15:00:00,545491.138677524,442668.30041101,660914.274702836
2021-06-13 16:00:00,494954.7613385756,381641.201070433,601889.7591422303
2021-06-13 17:00:00,439401.0672217726,331070.846742218,553010.9676982851
2021-06-13 18:00:00,389965.74365829024,284587.9189447656,494119.32040626585
2021-06-13 19:00:00,357104.3655547842,247794.64474245472,461931.0852098748
2021-06-13 20:00:00,347678.2666400317,237605.79303928377,452034.8272979488
